feature_name,Class,Feature,Description
original_firstorder_Variance,firstorder,Variance,
original_firstorder_10Percentile,firstorder,10Percentile,
original_firstorder_Kurtosis,firstorder,Kurtosis,
original_firstorder_Mean,firstorder,Mean,
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,
original_glrlm_RunVariance,glrlm,RunVariance,
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,
original_glrlm_RunPercentage,glrlm,RunPercentage,
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,
original_glrlm_RunEntropy,glrlm,RunEntropy,
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,
original_glszm_ZoneVariance,glszm,ZoneVariance,
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,
original_glszm_ZonePercentage,glszm,ZonePercentage,
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,
original_glszm_ZoneEntropy,glszm,ZoneEntropy,
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,
